method,ROC-AUC,AP,NDCG10,Precision10,Recall10,NDCG20,Precision20,Recall20,NDCG30,Precision30,Recall30,NDCG40,Precision40,Recall40,NDCG50,Precision50,Recall50,tie_count
HGB,0.7701549225387307,0.78966301683963,0.9495927637250372,0.9411764705882352,0.1839080459770115,0.8954403082619805,0.8776371308016878,0.3415435139573071,0.8361077446018033,0.8089887640449438,0.4729064039408867,0.7769919065306052,0.7426160337552743,0.5779967159277504,0.7351074120733871,0.6976351351351351,0.6781609195402298,30
LR,0.7709859356036267,0.7946178383432869,0.947099220880961,0.9327731092436976,0.1822660098522167,0.8853051161291425,0.8607594936708861,0.334975369458128,0.8287989210860788,0.797752808988764,0.4663382594417077,0.7884585841565561,0.7552742616033755,0.5878489326765188,0.7501749284120368,0.714527027027027,0.6945812807881774,31
XGB,0.7694638395088171,0.7871877236350084,0.9464881478734196,0.9411764705882352,0.1839080459770115,0.899834943912443,0.8860759493670886,0.3448275862068966,0.8300451112271287,0.8033707865168539,0.4696223316912972,0.7774164060068443,0.7447257383966245,0.5796387520525451,0.7436365239273146,0.7094594594594594,0.6896551724137931,30
RF,0.7713857357035767,0.7875901900489337,0.934394043791044,0.9327731092436976,0.1822660098522167,0.8736075435635766,0.8565400843881856,0.3333333333333333,0.8310187337212862,0.8089887640449438,0.4729064039408867,0.7901051541611078,0.7637130801687764,0.5944170771756979,0.7392141980145125,0.706081081081081,0.6863711001642037,31
HGB5,0.7368173056328977,0.7595321813965459,0.909792403625354,0.8907563025210085,0.174055829228243,0.8446138722213229,0.8185654008438819,0.3185550082101806,0.8231308445283815,0.800561797752809,0.4679802955665024,0.7738073798800217,0.7447257383966245,0.5796387520525451,0.7117187137465847,0.6739864864864865,0.6551724137931034,31
Composite,0.7379681587777539,0.7207658515858955,0.7846221539990988,0.8319327731092437,0.1625615763546798,0.7737086661046119,0.7932489451476793,0.3087027914614121,0.7574810088322396,0.7668539325842697,0.4482758620689655,0.7315427727224747,0.7320675105485233,0.5697865353037767,0.7037198846181978,0.6976351351351351,0.6781609195402298,30
Panel5,0.7215992003998002,0.6951035119410792,0.7467966455518198,0.7815126050420168,0.1527093596059113,0.7406171978275363,0.7552742616033755,0.2939244663382594,0.7314947574882059,0.7387640449438202,0.4318555008210181,0.7138753435954418,0.7151898734177216,0.5566502463054187,0.6956830935380146,0.6925675675675675,0.6732348111658456,31
