cut_distance,equivalent_abs_rho,indicator,family
0.15,0.85,R index,F01
0.15,0.85,P index,F03
0.15,0.85,q2 index,F01
0.15,0.85,e index,F01
0.15,0.85,hg_index,F01
0.15,0.85,pure h index,F01
0.15,0.85,fractional g index,F01
0.15,0.85,fractional h index,F01
0.15,0.85,AWCR,F01
0.15,0.85,Author/paper,F13
0.15,0.85,cites/author,F01
0.15,0.85,paper/author,F01
0.15,0.85,k index,F14
0.15,0.85,h dash index,F01
0.15,0.85,hl norm,F01
0.15,0.85,hc index,F01
0.15,0.85,ha index,F01
0.15,0.85,hi index s,F01
0.15,0.85,Rational h index,F01
0.15,0.85,Real h index,F15
0.2,0.8,Total Publication,F01
0.2,0.8,Total Citation,F01
0.2,0.8,Total Years,F02
0.2,0.8,Cite/Year,F01
0.2,0.8,Cite/Paper,F03
0.2,0.8,h index,F01
0.2,0.8,g index,F01
0.2,0.8,h(2) index,F01
0.2,0.8,w index,F01
0.2,0.8,h core citation,F01
0.2,0.8,m index,F01
0.2,0.8,f index,F01
0.2,0.8,t index,F01
0.2,0.8,tappered_h_index,F01
0.2,0.8,Maxprod,F01
0.2,0.8,wu index,F01
0.2,0.8,pi index,F01
0.2,0.8,weighted h index,F01
0.2,0.8,woginger_index,F04
0.2,0.8,Gh_index,F01
0.2,0.8,Rm index,F01
0.2,0.8,X index,F05
0.2,0.8,h2upper_index,F06
0.2,0.8,h2 center_index,F07
0.2,0.8,h2 lower_index,F08
0.2,0.8,k dash index,F09
0.2,0.8,i10 index,F01
0.2,0.8,normalized_h_index,F03
0.2,0.8,platinium_h_index,F01
0.2,0.8,m_qoutient_index,F10
0.2,0.8,HI_index,F01
0.2,0.8,AW_index,F01
0.2,0.8,Ar index,F01
0.2,0.8,V index,F10
0.2,0.8,hm_index,F01
0.2,0.8,hf index,F01
0.2,0.8,gf index,F01
0.2,0.8,gF index,F01
0.2,0.8,hi index,F01
0.2,0.8,h_m_index,F01
0.2,0.8,k norm index,F01
0.2,0.8,w norm index,F01
0.2,0.8,gm index,F01
0.2,0.8,A index,F01
0.2,0.8,R index,F01
0.2,0.8,P index,F01
0.2,0.8,q2 index,F01
0.2,0.8,e index,F01
0.2,0.8,hg_index,F01
0.2,0.8,pure h index,F01
0.2,0.8,fractional g index,F01
0.2,0.8,fractional h index,F01
0.2,0.8,AWCR,F01
0.2,0.8,Author/paper,F11
0.2,0.8,cites/author,F01
0.2,0.8,paper/author,F01
0.2,0.8,k index,F12
0.2,0.8,h dash index,F01
0.2,0.8,hl norm,F01
0.2,0.8,hc index,F01
0.2,0.8,ha index,F01
0.2,0.8,hi index s,F01
0.2,0.8,Rational h index,F01
0.2,0.8,Real h index,F13
