method,NDCG10_mean,NDCG10_std,NDCG10_min,NDCG10_max,Precision10_mean,Precision10_std,Precision10_min,Precision10_max,Recall10_mean,Recall10_std,Recall10_min,Recall10_max,ROC-AUC_mean,ROC-AUC_std,ROC-AUC_min,ROC-AUC_max,AP_mean,AP_std,AP_min,AP_max
Composite,0.7271036440819003,0.0444890165298693,0.6639675273783717,0.7955257644782473,0.7576330532212885,0.0443860125783395,0.7058823529411765,0.8403361344537815,0.1480432402846195,0.008673128894618,0.1379310344827586,0.1642036124794745,0.7204492039694438,0.0077217004331373,0.7137845363032769,0.7383708145927037,0.698343245223076,0.0099929899935783,0.6873559555937556,0.7193869726105612
HGB,0.934385388664938,0.0129233085673831,0.9206109899389352,0.9568104945392352,0.9243697478991596,0.0153423685575676,0.8991596638655462,0.9495798319327732,0.1806239737274219,0.0029979340859615,0.1756978653530377,0.1855500821018062,0.7575089598058115,0.0082905088226736,0.7456614549867924,0.7745241664881846,0.776408940192195,0.0063870460180973,0.7687870898142375,0.7887247679239625
HGB5,0.8882728893349128,0.0205495535525925,0.859185098881142,0.925520089725546,0.877310924369748,0.0206600436017767,0.8487394957983193,0.907563025210084,0.1714285714285714,0.0040370200141403,0.1658456486042692,0.1773399014778325,0.719607053616049,0.011135057904868,0.7000713928749911,0.7325851360034269,0.738110220201769,0.0088096720049622,0.7224745018322948,0.7519876553899809
LR,0.924460320405832,0.0283493242256921,0.8625179215663163,0.9536743291812918,0.9210084033613444,0.0221270786085506,0.8739495798319328,0.9411764705882352,0.1799671592775041,0.0043236820269581,0.1707717569786535,0.1839080459770115,0.7639168986935104,0.0071918403633703,0.7541243663882344,0.7723880916684515,0.7793951434722663,0.0126695112225306,0.7575673395424855,0.7949609913735901
Panel5,0.7377093280308619,0.0249350459330311,0.6839102166989959,0.77470096461997,0.7744397759103642,0.0196922785194492,0.73109243697479,0.7983193277310925,0.151327312534209,0.0038479164923061,0.1428571428571428,0.1559934318555008,0.720184336403227,0.0032556357172213,0.7138216605982723,0.7243078460769615,0.6935495543743992,0.0047929756509533,0.6859908771734624,0.7015998910339032
RF,0.9259908373516972,0.0229155269170876,0.8906448891716892,0.9558242206883016,0.9226890756302522,0.0253032824440027,0.8823529411764706,0.9495798319327732,0.180295566502463,0.0049443195580235,0.1724137931034483,0.1855500821018062,0.7638213750267724,0.0057482469956392,0.756440351252945,0.7725537231384307,0.7785700504541293,0.0074322489955232,0.7693265843759478,0.7905028341749863
XGB,0.9210214341919,0.0213293678499148,0.8836848642022398,0.9573559032071556,0.9100840336134454,0.0271723121854964,0.8571428571428571,0.9495798319327732,0.1778325123152709,0.0053095322661314,0.167487684729064,0.1855500821018062,0.7561979010494753,0.0061110136852885,0.7463882344542015,0.764607696151924,0.7732513729636965,0.0080521430254929,0.7614431516155195,0.7909014626003033
