model,cut_distance,family,count,members,mean_summed_abs_SHAP,SD,mean_per_indicator
HGB,0.15,F10,1,k dash index,0.0542579833585089,0.0841284148860303,0.0542579833585089
HGB,0.15,F11,1,m_qoutient_index,0.0477795656622173,0.0752049718062563,0.0477795656622173
HGB,0.15,F12,1,V index,0.2342067603320852,0.1395158880208405,0.2342067603320852
HGB,0.15,F13,1,Author/paper,0.194798372255962,0.1560021790020422,0.194798372255962
HGB,0.15,F14,1,k index,0.3342884114689133,0.1549933566463778,0.3342884114689133
HGB,0.15,F15,1,Real h index,0.0733973147040078,0.0868973304867409,0.0733973147040078
HGB,0.2,F01,50,Total Publication | Total Citation | Cite/Year | h index | g index | h(2) index | w index | h core citation | m index | f index | t index | tappered_h_index | Maxprod | wu index | pi index | weighted h index | Gh_index | Rm index | i10 index | platinium_h_index | HI_index | AW_index | Ar index | hm_index | hf index | gf index | gF index | hi index | h_m_index | k norm index | w norm index | gm index | A index | R index | P index | q2 index | e index | hg_index | pure h index | fractional g index | fractional h index | AWCR | cites/author | paper/author | h dash index | hl norm | hc index | ha index | hi index s | Rational h index,2.124468072856303,0.911233619748634,0.042489361457126
HGB,0.2,F02,1,Total Years,0.0731779483298976,0.0923009912690082,0.0731779483298976
HGB,0.2,F03,2,Cite/Paper | normalized_h_index,0.0796991309709884,0.0857239099967133,0.0398495654854942
HGB,0.2,F04,1,woginger_index,0.0519725786614136,0.085621798430794,0.0519725786614136
HGB,0.2,F05,1,X index,0.2513756374716074,0.2696825680870977,0.2513756374716074
HGB,0.2,F06,1,h2upper_index,0.2459163848849942,0.1459059837868385,0.2459163848849942
HGB,0.2,F07,1,h2 center_index,0.133613878287398,0.1340523334751067,0.133613878287398
HGB,0.2,F08,1,h2 lower_index,0.0407704530518236,0.0440215125906143,0.0407704530518236
HGB,0.2,F09,1,k dash index,0.0542579833585089,0.0841284148860303,0.0542579833585089
HGB,0.2,F10,2,m_qoutient_index | V index,0.2819863259943026,0.1606522131229884,0.1409931629971513
HGB,0.2,F11,1,Author/paper,0.194798372255962,0.1560021790020422,0.194798372255962
HGB,0.2,F12,1,k index,0.3342884114689133,0.1549933566463778,0.3342884114689133
HGB,0.2,F13,1,Real h index,0.0733973147040078,0.0868973304867409,0.0733973147040078
RF,0.05,F01,4,Total Publication | gF index | gm index | paper/author,0.0124481604979513,0.0104809244385225,0.0031120401244878
RF,0.05,F02,18,Total Citation | h(2) index | w index | h core citation | Maxprod | pi index | weighted h index | Rm index | AW_index | Ar index | R index | q2 index | e index | AWCR | cites/author | h dash index | hc index | ha index,0.0626118195864629,0.0243664502590984,0.0034784344214701
RF,0.05,F03,1,Total Years,0.0049503300539961,0.0049543116432245,0.0049503300539961
RF,0.05,F04,2,Cite/Year | platinium_h_index,0.0250083684599453,0.0124610366587506,0.0125041842299726
RF,0.05,F05,1,Cite/Paper,0.007941527538247,0.0065175828923838,0.007941527538247
RF,0.05,F06,23,h index | g index | f index | t index | tappered_h_index | wu index | Gh_index | i10 index | HI_index | hm_index | hf index | gf index | hi index | h_m_index | k norm index | w norm index | hg_index | pure h index | fractional g index | fractional h index | hl norm | hi index s | Rational h index,0.063078476504027,0.0281252193007928,0.0027425424566968
RF,0.05,F07,2,m index | A index,0.0182200959019781,0.0124063027015936,0.009110047950989
RF,0.05,F08,1,woginger_index,0.0130900169846614,0.0104289944413509,0.0130900169846614
RF,0.05,F09,1,X index,0.0206777495237208,0.0219576658106457,0.0206777495237208
RF,0.05,F10,1,h2upper_index,0.0327707764418247,0.0171096716265883,0.0327707764418247
RF,0.05,F11,1,h2 center_index,0.0169881056983715,0.0144161680347445,0.0169881056983715
RF,0.05,F12,1,h2 lower_index,0.0062859358481574,0.0055578813560129,0.0062859358481574
RF,0.05,F13,1,k dash index,0.0100711355182581,0.0095765904595068,0.0100711355182581
RF,0.05,F14,1,normalized_h_index,0.0049545089918565,0.0049088291507733,0.0049545089918565
RF,0.05,F15,1,m_qoutient_index,0.0058131636366278,0.0047092349643407,0.0058131636366278
RF,0.05,F16,1,V index,0.0108597919003021,0.0096411733355656,0.0108597919003021
RF,0.05,F17,1,P index,0.0230127749888436,0.0142850547714268,0.0230127749888436
RF,0.05,F18,1,Author/paper,0.0170842825886259,0.014428073426146,0.0170842825886259
RF,0.05,F19,1,k index,0.0348187964516617,0.0185035216353571,0.0348187964516617
RF,0.05,F20,1,Real h index,0.005366872376865,0.0060654524310529,0.005366872376865
RF,0.1,F01,4,Total Publication | gF index | gm index | paper/author,0.0124481604979513,0.0104809244385225,0.0031120401244878
RF,0.1,F02,41,Total Citation | h index | g index | h(2) index | w index | h core citation | f index | t index | tappered_h_index | Maxprod | wu index | pi index | weighted h index | Gh_index | Rm index | i10 index | HI_index | AW_index | Ar index | hm_index | hf index | gf index | hi index | h_m_index | k norm index | w norm index | R index | q2 index | e index | hg_index | pure h index | fractional g index | fractional h index | AWCR | cites/author | h dash index | hl norm | hc index | ha index | hi index s | Rational h index,0.12569029609049,0.0413317992160883,0.0030656169778168
RF,0.1,F03,1,Total Years,0.0049503300539961,0.0049543116432245,0.0049503300539961
RF,0.1,F04,2,Cite/Year | platinium_h_index,0.0250083684599453,0.0124610366587506,0.0125041842299726
RF,0.1,F05,2,Cite/Paper | normalized_h_index,0.0128960365301035,0.0092472337691178,0.0064480182650517
RF,0.1,F06,3,m index | A index | P index,0.0412328708908218,0.0231663811042007,0.0137442902969406
RF,0.1,F07,1,woginger_index,0.0130900169846614,0.0104289944413509,0.0130900169846614
RF,0.1,F08,1,X index,0.0206777495237208,0.0219576658106457,0.0206777495237208
RF,0.1,F09,1,h2upper_index,0.0327707764418247,0.0171096716265883,0.0327707764418247
