Author Name,Total Publication,Total Citation,Total Years,Cite/Year,Cite/Paper,h index,g index,h(2) index,w index,h core citation,m index,f index,t index,tappered_h_index,Maxprod,wu index,pi index,weighted h index,woginger_index,Gh_index,Rm index,X index,h2upper_index,h2 center_index,h2 lower_index,k dash index,i10 index,normalized_h_index,platinium_h_index,m_qoutient_index,HI_index,AW_index,Ar index,V index,hm_index,hf index,gf index,gF index,hi index,h_m_index,k norm index,w norm index,gm index,A index,R index,P index,q2 index,e index,hg_index,pure h index,fractional g index,fractional h index,AWCR,Author/paper,cites/author,paper/author,k index,h dash index,hl norm,hc index,ha index,hi index s,Rational h index,Real h index,Class
A. Blaauw Gerrit,19,341,27,12.6296296296296,1.79473684210526,9,18,4,4,314,24.0,12,14,8.82116118568209,164,14,2.24,14.9666295470957,9,9,7.12684717943877,2.0,68.3284457478005,23.7536656891495,-17.5953079178885,-1.09897610921501,9,0.473684210526315,5.98245614035087,0.333333333333333,4.38461538461538,18.4661853126193,14.696938456699,0.136363636363636,5.99999999999999,7,19,19,3.85714285714285,5.99999999999999,6.86666666666666,6.89442815249266,19.0,34.8888888888888,17.7200451466693,17.9473684210526,14.696938456699,233,12.7279220613578,5.89188303637179,13,6,5.86058008395056,2.05263157894736,186.583333333333,11.8333333333333,208.721247563352,149.785714285714,6,3,1,3.85714285714285,10.3157894736842,1.85714285714285,1
A. Gosling James,29,3678,14,262.714285714285,8.4551724137931,27,29,11,11,3675,93.0,28,29,17.4984605216901,1510,27,16.61,52.5071423713003,29,27,17.1295229835584,3.16227766016837,80.0978792822186,19.8205546492659,-0.706905927134312,-0.993195427327163,27,0.93103448275862,244.5960591133,1.92857142857142,11.5147058823529,60.6465168002252,36.7130766893759,0.870967741935483,15.0,24,30,29,11.390625,15.0,23.8500566893424,23.8561718325176,29.0,136.111111111111,60.6217782649107,126.827586206896,50.1098792654702,2946,27.9821371592664,17.5370144266348,29,27,160.32247208737,2.34482758620689,1577.75,16.0,155363.793103448,2742.82758620689,23,14,7,11.390625,28.5090909090909,1.06896551724137,1
A. Lebedev Sergey,31,159,31,5.12903225806451,0.320564516129032,7,12,3,2,122,16.0,9,10,7.86102184779609,60,14,1.12,9.32737905308881,1,7,5.36808541450078,2.23606797749979,50.314465408805,30.817610062893,-86.1635220125786,-1.21904761904761,6,0.225806451612903,1.15816857440166,0.225806451612903,3.14492753623188,12.6095202129184,10.099504938362,0.11864406779661,3.33333333333333,5,9,31,2.04166666666666,3.33333333333333,4.84,4.89937106918239,31.0,17.4285714285714,11.0453610171872,5.12903225806451,10.5830052442583,73,9.16515138991168,3.78043207407125,5,3,4.64324228452958,2.2258064516129,59.5,19.25,22.0548387096774,51.1,4,2,1,2.04166666666666,8.06666666666666,4.0,1
A. Lyapunov Alexey,1,3,0,3.0,3.0,1,1,1,0,3,3.0,1,1,2.0,3,1,0.03,1.73205080756887,1,1,1.31607401295249,1.0,66.6666666666666,33.3333333333333,0.0,0.0,0,1.0,3.0,1.0,1.0,1.73205080756887,1.73205080756887,0.0192307692307692,1.0,1,2,1,1.0,1.0,1.66666666666666,1.66666666666666,1.0,3.0,1.73205080756887,3.0,1.73205080756887,2,1.0,1.0,1,1,0.0576923076923076,1.0,3.0,1.0,1.0,2.0,1,0,0,1.0,1.0,-2.0,1
A. Mead Carver,69,9787,34,287.85294117647,4.05258799171842,55,69,13,15,9198,131.0,69,69,36.3687317578568,5136,69,33.26,82.6922003577121,69,55,26.1001917464722,6.9282032302755,63.6354347603964,30.9083478083171,-2.40114437519158,-1.10771685854325,69,0.797101449275362,229.44799658994,1.61764705882352,21.0833333333333,98.9292676612942,55.398717107374,0.887096774193548,28.4499999999999,38,70,69,20.0331125827814,28.4499999999999,37.8193454737397,37.8601205681005,69.0,167.236363636363,95.9062041788746,141.840579710144,84.882271411644,6173,61.6035713250457,33.1936920521502,67,48,287.515590168192,2.60869565217391,4555.14999999999,31.4499999999999,2457.77319111979,4920.50724637681,37,17,7,20.0331125827814,56.009009009009,28.0,1
A. Patterson David,39,15413,22,700.590909090909,19.7602564102564,39,39,17,21,15413,229.0,39,39,23.7203242974438,5491,39,79.99,109.722376933786,39,39,25.9384886414706,4.12310562561766,90.1317070005839,9.86829299941607,0.0,0.0,39,1.0,700.590909090909,1.77272727272727,12.266129032258,124.14910390333,84.7364541780376,0.847826086956521,14.6166666666666,35,40,39,12.266129032258,14.6166666666666,34.9231740546288,34.9249983779926,39.0,395.205128205128,124.14910390333,395.205128205128,94.503968170654,13892,39.0,21.8718776573495,39,37,480.015729097931,3.17948717948717,5718.98333333333,14.6166666666666,0.0256410256410256,13892.0,34,24,11,12.266129032258,39.4303797468354,-1.04545454545454,1
A. Petri Carl,8,81,24,3.375,2.25,5,8,3,2,74,17.5,8,7,5.25165945165945,46,6,0.51,7.14142842854285,5,5,4.37082698450016,1.41421356237309,66.6666666666666,30.8641975308641,-12.3456790123456,0.0,4,0.625,2.109375,0.208333333333333,5.0,9.0,8.39642781187333,0.0806451612903225,5.0,6,9,8,5.0,5.0,5.68354430379746,5.69135802469135,8.0,14.8,8.60232526704262,10.125,9.35414346693485,49,6.32455532033675,5.0,8,5,1.724519724209,1.0,81.0,8.0,399.9375,35.0,5,1,0,5.0,6.27272727272727,1.5,1
A. R. Hoare C.,2,12,4,3.0,4.0,2,2,1,1,10,10.0,2,2,2.66666666666666,10,2,0.1,3.16227766016837,2,2,2.13927352681733,1.0,66.6666666666666,33.3333333333333,0.0,0.0,1,1.0,3.0,0.5,0.8,3.46410161513775,3.46410161513775,0.0512820512820512,0.833333333333333,2,3,2,0.8,0.833333333333333,1.9,1.91666666666666,2.0,5.0,3.16227766016837,6.0,4.47213595499958,6,2.0,1.26491106406735,2,1,0.336996336996336,2.5,5.66666666666666,0.833333333333333,0.5,6.0,1,1,0,0.8,2.6,-3.0,1
A.J. Robin Milner,9,52,9,5.77777777777777,1.15555555555555,3,7,2,1,43,21.5,3,4,4.28975468975468,38,6,0.46,6.16441400296897,1,3,3.18316395871115,1.0,71.1538461538461,17.3076923076923,-21.1538461538461,-1.02380952380952,1,0.333333333333333,1.92592592592592,0.333333333333333,1.79999999999999,7.21110255092797,4.94974746830583,0.0714285714285714,2.0,3,10,9,1.8,2.0,2.90697674418604,2.92307692307692,9.0,14.3333333333333,6.557438524302,5.77777777777777,8.0311892021045,34,4.58257569495584,2.32379000772445,5,3,1.55947288006111,1.66666666666666,29.5,6.33333333333333,44.2962962962963,25.5,2,1,1,1.79999999999999,4.14285714285714,2.0,1
Aashay Shringarpure,4,437,1,437.0,43.7,3,4,3,3,437,178.0,4,4,3.8,356,3,3.93,19.824227601599,3,3,5.88538800279576,1.41421356237309,97.9405034324942,2.05949656750572,0.0,0.0,3,0.75,327.75,3.0,0.75,20.9045449603668,15.5080624192708,0.2,0.833333333333333,4,5,4,0.818181818181818,0.833333333333333,3.97940503432494,3.97940503432494,4.0,145.666666666666,20.9045449603668,109.25,23.1084400165826,428,3.46410161513775,1.56669890360128,4,3,31.0047619047619,4.0,112.916666666666,1.03333333333333,0.25,321.0,3,3,2,0.818181818181818,10.2857142857142,1.0,1
Abtin Rahimian,2,83,0,83.0,27.6666666666666,1,2,1,1,83,83.0,2,2,2.0,83,1,0.83,9.1104335791443,1,1,3.01834947929233,1.0,98.7951807228915,1.20481927710843,0.0,0.0,1,0.5,41.5,1.0,0.25,9.1104335791443,9.1104335791443,0.0714285714285714,0.333333333333333,2,3,2,0.333333333333333,0.333333333333333,1.98795180722891,1.98795180722891,2.0,83.0,9.1104335791443,41.5,9.1104335791443,82,1.41421356237309,0.577350269189625,2,1,5.92857142857142,4.0,27.6666666666666,0.533333333333333,0.5,41.0,1,1,1,0.333333333333333,29.6666666666666,1.0,1
Adam Bertsch,1,0,0,0.0,0.0,0,0,0,0,0,0.0,1,1,0.0,0,0,0.0,0.0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0.0,1.0,1.0,1
Adi Shamir,119,105485,27,3906.85185185185,14.7738095238095,72,119,23,34,103963,295.0,99,119,49.3943167621739,38754,116,804.97,290.094812087358,119,72,43.6197395359674,1.41421356237309,93.6426980139356,4.91444281177418,-1.76423188131013,-1.02784064304666,117,0.605042016806722,2363.80952380952,2.66666666666666,33.6,324.784543967227,235.805675645576,1.46938775510204,46.2,63,120,119,32.6037735849056,46.2,62.9627121932292,62.9635587998293,119.0,1443.93055555555,322.432938764016,886.428571428571,145.739493617893,98779,92.563491723249,48.4507141135526,119,72,2960.14137030586,2.14285714285714,64316.8666666666,67.9666666666667,60549.1284963394,59765.4453781512,62,37,22,32.6037735849056,73.0206896551724,18.75,1
Adolfo G. Eguiluz,39,1613,40,40.325,2.06794871794871,21,39,8,7,1505,51.0,28,30,16.5059602751677,654,30,8.37,33.2866339541864,24,22,12.9993414303791,2.44948974278317,65.9640421574705,27.3403595784252,-16.7389956602603,-1.11001410437235,26,0.538461538461538,21.7134615384615,0.525,7.65420560747663,40.1621712560464,35.6791255498225,0.477272727272727,12.5999999999999,17,31,39,7.22950819672131,12.5999999999999,16.8130021913805,16.8412895226286,39.0,71.6666666666666,38.7943294825416,41.3589743589743,32.7261363439071,1064,28.6181760425083,12.3215125748078,28,18,62.7757759541472,2.74358974358974,822.65,20.5499999999999,576.344966761633,744.8,16,10,4,7.22950819672131,22.0232558139534,11.5,1
Adrien Leblanc,28,248,10,24.8,0.610837438423645,8,15,5,3,218,27.0,11,12,8.46338102135462,130,14,1.88,13.711309200802,5,8,6.29974470253032,2.23606797749979,62.0967741935483,25.8064516129032,-52.016129032258,-1.12820512820512,6,0.285714285714285,7.08571428571428,0.8,1.80645161290322,15.7480157480236,10.770329614269,0.666666666666666,2.63333333333333,5,7,28,1.56097560975609,2.63333333333333,4.90123456790123,4.93548387096774,28.0,27.25,14.7648230602334,8.85714285714285,14.696938456699,154,10.9544511501033,3.53380883439508,6,4,79.2166666666666,4.42857142857142,50.3833333333333,7.63333333333333,64.3619047619047,102.666666666666,4,6,4,1.56097560975609,9.11764705882352,3.33333333333333,1
Aggarwal J.K.,79,12922,24,538.416666666666,4.08924050632911,58,79,14,16,11963,139.0,79,79,40.2463678522881,4278,79,53.12,92.7200086281272,79,58,27.6340244115312,6.78232998312526,66.9942733323015,26.0331218077696,-2.43770314192849,-1.14915891195418,79,0.734177215189873,395.293248945147,2.41666666666666,24.3723404255319,113.674975258409,60.7622415649719,1.11538461538461,34.4166666666666,40,80,79,24.3768115942029,34.4166666666666,39.8546306030775,39.8822937625754,79.0,206.258620689655,109.375499998857,163.569620253164,89.7886407069402,8599,67.6904720030818,37.6012642402322,79,41,367.627439599089,2.37974683544303,6303.08333333333,35.2499999999999,2182.32009440986,6313.18987341772,39,19,8,24.3768115942029,59.017094017094,19.6666666666666,1
Akinori Yamanaka,38,523,14,37.3571428571428,0.705802968960863,9,22,5,4,501,38.0,11,14,8.5656008232683,272,16,4.6,19.8746069143517,5,9,7.86883426979267,2.0,80.3059273422562,15.4875717017208,-45.3154875717017,-0.997942386831275,9,0.236842105263157,8.84774436090225,0.642857142857142,2.69291338582677,22.8691932520585,17.0440605490593,0.5,2.86666666666666,7,13,38,2.53125,2.86666666666666,6.92173913043478,6.93116634799235,38.0,55.6666666666666,22.3830292855993,13.7631578947368,18.4932420089069,420,14.0712472794702,4.77297077300919,11,6,36.2185224089635,3.34210526315789,145.066666666666,12.35,313.424641148325,270.0,6,6,3,2.53125,10.3157894736842,2.0,1
Akira Nukada,39,1517,51,29.7450980392156,1.94487179487179,15,38,8,7,1409,77.0,21,26,13.7303630877856,688,27,9.82,33.7045990927054,14,15,11.6722287715992,2.0,78.0487804878048,14.8319050758075,-16.5458141067897,-1.12395437262357,19,0.384615384615384,11.4404223227752,0.294117647058823,4.00684931506849,38.9486841883009,18.7945027423801,0.234375,6.25,12,22,39,4.16666666666666,6.25,11.9059097978227,11.9202373104812,39.0,93.9333333333333,37.5366487582469,38.8974358974359,33.9852909359328,1184,23.8746727726266,7.90569415042094,21,10,102.982339056097,3.74358974358974,468.433333333333,12.1166666666666,507.46747388414,683.076923076923,11,10,6,4.16666666666666,16.0645161290322,5.66666666666666,1
Alan Kay,249,20029,69,290.27536231884,0.643502008032128,38,140,15,18,18481,168.0,56,70,34.7347778195517,8876,97,162.43,117.200682591868,16,38,24.9709642897921,1.0,85.0616605921414,7.20954615807079,-32.2881821359029,-1.16572371522866,97,0.152610441767068,44.299051277574,0.550724637681159,18.1612284069097,141.523849580203,88.5353036929337,0.520547945205479,27.9928571428571,32,93,249,13.1272727272727,27.9928571428571,31.9469646799117,31.9520195716211,249.0,486.342105263157,135.944841755765,80.437751004016,79.8999374217527,17037,72.9383301152418,22.3346449185198,93,38,620.574076093696,2.09236947791164,9052.72857142856,173.90238095238,960.316586760478,9248.65714285714,31,19,11,13.1272727272727,39.1428571428571,3.91666666666666,1
Alessandro Curioni,169,7403,27,274.185185185185,0.515349808562478,41,85,12,13,6135,103.0,59,66,35.0689219274874,2208,90,39.08,67.1714224949866,10,44,21.5939259147353,4.79583152331271,60.7186275834121,22.7070106713494,-54.3158179116574,-1.44969939879759,90,0.242603550295857,66.5182993644532,1.51851851851851,11.8647260273972,86.0406880493177,53.6198035555272,1.32258064516129,20.4499999999999,27,47,169,11.5136986301369,20.4499999999999,26.8718969111237,26.9086856679724,169.0,149.634146341463,78.3262408136634,43.8047337278106,64.9846135635197,4454,59.0338885725817,21.726979629843,43,32,411.82195540392,3.45562130177514,2227.18333333333,58.8666666666667,220.487396497928,2766.87878787878,26,21,10,11.5136986301369,42.0,42.0,1
